paper_id,date,year,phase_1931plus,explicit_she_title,women_implicit,education_topic,editorial,female_creator,headline_len,sentiment_score,sentiment_label,cluster_id
禹域新闻,1914-10-25,1914,0,0,0,0,0,0,5,0.6887257367443865,positive,
禹域新闻,1914-10-27,1914,0,0,0,0,0,0,12,0.9850307922043272,positive,
禹域新闻,1914-10-28,1914,0,0,0,0,0,0,9,0.2603527823468452,negative,
禹域新闻,1914-10-28,1914,0,0,0,0,0,0,7,0.8910186019700067,positive,
全浙公报,1916-11-11,1916,0,0,0,0,0,0,12,0.7427053100441516,positive,
民国大新闻报,1917-06-29,1917,0,0,0,0,0,0,12,0.8998975184779462,positive,
民国大新闻报,1917-06-29,1917,0,0,0,0,0,0,2,0.7067477108027013,positive,
民国大新闻报,1917-07-02,1917,0,0,0,0,0,0,38,0.44572649793481633,negative,
民国大新闻报,1917-07-02,1917,0,0,0,0,0,0,16,0.8877389548230824,positive,
民国大新闻报,1917-07-02,1917,0,0,0,0,0,0,8,0.8495679220338529,positive,
民国大新闻报,1917-07-04,1917,0,0,0,0,0,0,7,0.9260395277662937,positive,
民国大新闻报,1917-07-08,1917,0,0,0,0,0,0,8,0.7311878655577614,positive,
民国大新闻报,1917-07-09,1917,0,0,0,0,0,0,7,0.3385892214283168,negative,
民国大新闻报,1917-07-10,1917,0,0,0,0,0,0,9,0.5627714725368983,positive,
民国大新闻报,1917-07-11,1917,0,0,0,0,0,0,9,0.9956730251130206,positive,
民国大新闻报,1917-07-11,1917,0,0,0,0,0,0,7,0.6321844467865266,positive,
民国大新闻报,1917-07-11,1917,0,0,0,0,0,0,3,0.5,neutral,
民国大新闻报,1917-07-11,1917,0,0,0,0,0,0,4,0.7848272212204545,positive,
民国大新闻报,1917-07-12,1917,0,0,0,0,0,0,2,0.19999999999999996,negative,
民国大新闻报,1917-07-13,1917,0,0,0,0,0,0,7,0.500358731260519,neutral,
民国大新闻报,1917-07-14,1917,0,0,0,0,0,0,43,0.9133573895776544,positive,
民国大新闻报,1917-07-14,1917,0,0,0,0,0,0,7,0.8663872640818215,positive,
民国大新闻报,1917-07-15,1917,0,0,0,0,0,0,29,0.027202425012385567,negative,
民国大新闻报,1917-07-17,1917,0,0,0,0,0,0,7,0.30942990279068805,negative,
